,id,created_at_existing,updated_at_existing,updated_at_total_existing,updated_at_unit_existing,updated_at_seconds_existing,let_agreed_existing,created_at_new,updated_at_new,updated_at_total_new,updated_at_unit_new,updated_at_seconds_new,let_agreed_new,new_listing,let_agreed_ts,created_at,updated_at,updated_at_total,updated_at_unit
0,1370285,2022-04-19 22:54:47.925850+00:00,2022-04-19 22:54:47.925850,1,hours,1650405287,False,,,1,hours,1650405287,,False,,2022-04-19 22:54:47.925850+00:00,2022-04-19 22:54:47.925850,1,hours
1,1370353,2022-04-19 22:54:47.900918+00:00,2022-04-19 22:54:47.901914,1,hours,1650405287,False,,,1,hours,1650405287,,False,,2022-04-19 22:54:47.900918+00:00,2022-04-19 22:54:47.901914,1,hours
2,1370157,2022-04-19 22:54:47.876981+00:00,2022-04-19 22:54:47.876981,1,hours,1650405287,False,,,1,hours,1650405287,,False,,2022-04-19 22:54:47.876981+00:00,2022-04-19 22:54:47.876981,1,hours
3,1332493,2022-04-19 22:54:47.882965+00:00,2022-04-19 20:54:47.882965,3,hours,1650398087,False,2022-04-20 07:17:34.672381+00:00,2022-04-19 21:17:34.672381,11,hours,1650399454,False,False,True,2022-04-19 22:54:47.882965+00:00,2022-04-19 21:17:34.672381,11,hours
4,1359440,2022-04-19 22:54:48.049482+00:00,2022-04-19 17:54:48.049482,6,hours,1650387288,True,2022-04-20 07:17:34.825057+00:00,2022-04-19 18:17:34.826055,14,hours,1650388654,True,False,True,2022-04-19 22:54:48.049482+00:00,2022-04-19 18:17:34.826055,14,hours
5,1358165,2022-04-19 22:54:47.871960+00:00,2022-04-19 17:54:47.871960,6,hours,1650387287,False,,,6,hours,1650387287,,False,,2022-04-19 22:54:47.871960+00:00,2022-04-19 17:54:47.871960,6,hours
6,1336465,2022-04-19 22:54:48.065440+00:00,2022-04-19 16:54:48.066437,7,hours,1650383688,True,,,7,hours,1650383688,,False,,2022-04-19 22:54:48.065440+00:00,2022-04-19 16:54:48.066437,7,hours
7,1328652,2022-04-19 22:54:47.940787+00:00,2022-04-19 15:54:47.941807,8,hours,1650380087,False,,,8,hours,1650380087,,False,,2022-04-19 22:54:47.940787+00:00,2022-04-19 15:54:47.941807,8,hours
8,1355208,2022-04-19 22:54:47.926849+00:00,2022-04-19 15:54:47.926849,8,hours,1650380087,False,,,8,hours,1650380087,,False,,2022-04-19 22:54:47.926849+00:00,2022-04-19 15:54:47.926849,8,hours
9,1369790,2022-04-19 22:54:47.953777+00:00,2022-04-19 14:54:47.953777,9,hours,1650376487,False,,,9,hours,1650376487,,False,,2022-04-19 22:54:47.953777+00:00,2022-04-19 14:54:47.953777,9,hours
